"RegionName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"Portland, OR",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04420308158626,1.05747749769367,1.03282328276505,1.10294117647059,1.08573500967118,1.12232284311616,1.09622219674387,1.05864811133201,1.09544513457557,1.11055555555556,1.1085626911315,1.13227052338551,1.18518518518519,1.23626373626374,1.24867162592986,1.25,1.28275862068966,1.29680998613037,1.26984126984127,1.30146771153689,1.29985228951256,1.31301643468001,1.35,1.36,1.37339055793991,1.38988326848249,1.45348837209302,1.53922209447008,1.58898305084746,1.59,1.58101851851852,1.75882352941176,1.6793893129771,1.70585317460317,1.77050688509022,1.76666666666667,1.77780357142857,1.76803394625177,1.7292049355577,1.75882352941176,1.63576520037265,1.66666666666667,1.57777777777778
"Sacramento, CA",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04435483870968,0.965151515151515,0.966666666666667,0.984913691823293,0.990633563826397,0.976068376068376,0.966666666666667,0.95796178343949,0.991425509110397,1.00522875816993,1.06170212765957,1.05820105820106,1.1406578026592,1.13932291666667,1.13019891500904,1.12875957789109,1.15745079662605,1.16704430760447,1.2,1.20257636311733,1.20353982300885,1.220703125,1.24054267817682,1.25585754451734,1.2404214559387,1.24791666666667,1.23015873015873,1.37231924047526,1.35838607594937,1.3565442860024,1.38200782268579,1.43644123422805,1.43113689306706,1.4535365497076,1.4611499104056,1.43888888888889,1.44318181818182,1.41294642857143,1.39818181818182
"San Antonio, TX",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06666666666667,0.99160945842868,0.985074626865672,0.998948475289169,0.973426791277259,0.956319702602231,0.956521739130435,0.943990592011774,0.991140642303433,1.01036269430052,1.03931623931624,1.05299145299145,1.06452545443229,1.05804001981552,1.10497237569061,1.08769081795398,1.07581663484623,1.08333333333333,1.08699808795411,1.10695187165775,1.12138263665595,1.10011494172314,1.10566838560195,1.08247422680412,1.0792270531401,1.08585858585859,1.09285828786098,1.11786875554242,1.12994350282486,1.13418530351438,1.12960760998811,1.15995115995116,1.15833333333333,1.15789473684211,1.15472462802576,1.18181818181818,1.17781155015198,1.17011701170117,1.19789473684211,1.18787878787879,1.21411764705882,1.21270452358037,1.171875
"Orlando, FL",23,,,,,0.720459236326109,0.723684210526316,0.731543276682166,0.785152838427948,0.810920945395273,0.784281488338398,0.825765306122449,0.825,0.802540415704388,0.749765698219306,0.740631594444717,0.767870101596517,0.811688311688312,0.863636363636364,0.87361963190184,0.906287878787879,0.85,0.795221843003413,0.780859255506271,0.788216545876702,0.79136690647482,0.78125,0.799461400359066,0.803858520900322,0.811512491020832,0.91906976744186,0.93119072554838,0.977396911304211,0.9,0.969162995594714,0.959,0.9375,0.93010752688172,0.933790209487691,0.970443349753695,0.962962962962963,0.964388538524815,0.953407243295396,0.972222222222222,1.00250626566416,1.01768891766473,1.02402745995423,1.01851851851852,1.02461743180306,1.04592747559275,1.05740181268882,1.04990064501047,1.04393673110721,1.05560382276281,1.06332138590203,1.08228317272053,1.09418094703156,1.049786628734,1.11611083980902,1.13300492610837,1.15238095238095,1.15424722181971,1.24266666666667,1.25030674846626,1.23822463768116,1.2,1.22579829849768,1.23917995444191,1.25672559569562,1.24553039332539,1.26704614364605,1.2721843003413,1.30408472012103,1.27189241761119
"Cincinnati, OH",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7981220657277,0.742968544642075,0.741583257506824,0.739828498449188,0.757575757575758,0.757483530961792,0.792682926829268,0.76467276099629,0.764087301587302,0.766666666666667,0.787301587301587,0.8125,0.8125,0.795,0.798798527926108,0.795,0.807692307692308,0.8125,0.811162575266327,0.829268292682927,0.829268292682927,0.875,0.883333333333333,0.87427430599569,0.853137254901961,0.861378205128205,0.863636363636364,0.85,0.882825040128411,1.00419782181134,0.995222929936306,1,0.998244047619048,1.03714109073401,1.0625,1.07302981167461,1.0479704797048,1.04347826086957,1,1.01785714285714,1.01179673321234
"Cleveland, OH",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.678571428571429,0.733333333333333,0.759090909090909,0.763157894736842,0.75,0.755623721881391,0.761346998535871,0.784146076568015,0.818127053669222,0.815594541910331,0.822815918820358,0.913978494623656,0.961560191221208,0.957257346393589,0.970873786407767,0.954356060606061,0.931952662721893,0.972046511627907,0.92,0.907608695652174,0.936507936507937,0.92,0.904166666666667,0.917390431704558,0.960015673981191,0.96726750261233,0.932678821879383,0.923076923076923,0.933333333333333,0.911310008136696,0.939393939393939,0.892504930966469
"Kansas City, MO",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783924458774758,0.803571428571429,0.793650793650794,0.833333333333333,0.827369095048378,0.765384615384615,0.775061124694376,0.756983240223464,0.777777777777778,0.767532467532468,0.790232389251997,0.78125,0.848484848484849,0.825319771921714,0.834254143646409,0.86515496400619,0.847358466105329,0.845490716180371,0.833333333333333,0.827725900773439,0.870639534883721,0.85,0.911302672320948,0.911825726141079,0.908789486375693,0.954738330975955,0.985349325466047,0.967213114754098,0.980719794344473,1.00872410032715,0.990384615384615,0.965899403239557,0.944767441860465,0.959498553519769,0.971302428256071,1,0.990759753593429,0.989351403678606,0.975152959772348,1.00806451612903,0.996684433260894,1.03407345986119,0.964285714285714
"Las Vegas, NV",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658135171012308,0.753561253561254,0.792391304347826,0.805854300091491,0.744560286014912,0.798502700961443,0.768181818181818,0.722325536148374,0.718132854578097,0.724194535495485,0.71875,0.718347864414797,0.720576461168935,0.717284814555633,0.728511530398323,0.738916256157635,0.738338623723294,0.750081539465101,0.771632471008029,0.758232112162019,0.749859075535513,0.755992603798958,0.763559768299105,0.760416666666667,0.775776397515528,0.783582089552239,0.806570013838436,0.83122028526149,0.848142164781906,0.867954675622201,0.871436652974887,0.861450107681264,0.870197904540163,0.967567567567568,1.02577947610345,0.994666666666667,0.975877261344389,1.02352941176471,1.01285714285714,1.00961764788298,0.963785046728972,0.870924754489958,0.868802112877942,0.919117647058823,0.978142076502732
"Columbus, OH",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.852476290832455,0.865971107544141,0.865019273477023,0.866666666666667,0.850591715976331,0.833333333333333,0.861333333333333,0.854832461295035,0.871042810721837,0.908571428571429,0.926598837209302,0.935763888888889,0.944605943152455,0.955533596837945,0.956521739130435,0.963644246252942,0.954545454545455,0.962264150943396,0.945054945054945,0.968109339407745,0.979166666666667,0.966331787738279,0.971817298347911,0.996296296296296,0.995,1.01593625498008,1.0187559354226,1.0304028436019,1.05,1.0676532769556,1.02945567662309
"Indianapolis, IN",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784,0.741860465116279,0.727207792207792,0.694444444444444,0.696551724137931,0.735864113087095,0.746813933729822,0.753221098193165,0.748680555555556,0.729166666666667,0.731332357247438,0.733333333333333,0.744186046511628,0.782433380084151,0.775862068965517,0.767948717948718,0.79989939637827,0.78452380952381,0.776,0.806003584229391,0.818852459016393,0.8270264681555,0.827338129496403,0.858895705521472,0.858963271262939,0.867669172932331,0.861505681818182,0.83594566353187,0.841000049716615,0.886807270008424,0.891456369717239,0.927551020408163,0.923493044822257,0.914790996784566,0.921111111111111,0.934,0.962121212121212,0.969172011616616,0.963098308028314,0.943085548172757,0.93906510851419,0.96476833976834,0.935483870967742
"San Jose, CA",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46492048643592,2.54978354978355,2.62838468720822,2.74803369981017,2.76805251641138,2.78324508225587,2.80223927145709,2.83551967709384,2.82308410025871,2.8206988783434,2.86790780141844,2.89848197343454,2.94797687861272,2.97738916858378,3.05921052631579,3.14424007744434,3.18231472267024,3.20641025641026,3.19311663479924,3.15839310415493,3.17919075144509,3.1504132231405,3.18875,3.18063112078346,3.18285714285714,3.12538540596095,3.08231173380035,3.09748427672956,3.15897402597403,3.06282051282051,3.07555555555556,2.98813812232287
"Austin, TX",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17096443360811,1.19148936170213,1.18806174643771,1.25350140056022,1.32777356263699,1.30151197198873,1.27315592731041,1.30705394190871,1.28571428571429,1.29538904899135,1.3251213592233,1.36458333333333,1.2974358974359,1.31333573273489,1.31531531531532,1.28917266821112,1.35370355733829,1.31948553583169,1.35141440040351,1.35689573933866,1.39390386869871,1.40155890866458,1.39733840304182,1.42925278219396,1.44349070100143,1.44245283018868,1.44299674267101,1.48675914249685,1.50190114068441,1.48476052249637,1.51952688123454,1.46170320295548,1.49239543726236,1.45833333333333,1.43207855973813
"Virginia Beach, VA",32,,,,,,,,,,,,0.901031712852365,0.915225236436038,0.874658469945355,0.863636363636364,0.858546858546859,0.866666666666667,0.863636363636364,0.875,0.873205741626794,0.845008756567426,0.825242718446602,0.875,0.886363636363636,0.888718473074301,0.875,0.86716851558373,0.875,0.875,1,1.00658008658009,0.99925,0.999333333333333,0.993377483443709,0.993483613516726,0.946252838758516,0.958823529411765,0.975,0.981538461538462,0.992262316450309,0.991186072036737,0.992647058823529,1,1.00322624235668,1,1,1,1,1,1.01875,1.02286198137172,1.03043132172601,1.03289085545723,1.05446293494705,1.04306034097011,1.04166666666667,1.03703703703704,1.0406976744186,1.04699453977349,1.03887362637363,1.04275558564658,1.0395,1.03602620087336,1.03703703703704,1.04615384615385,1.06441048034935,1.06756203183521,1.07058823529412,1,1.06261396790664,1.02040816326531,1.04997162315551,1.06390532544379
"Providence, RI",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08333333333333,1.0718789407314,1.06923076923077,1.0625,1.10567767720701,1.13207547169811,1.13333333333333,1.15151515151515,1.15316117542297,1.10714285714286,1.1,1.11111111111111,1.12359550561798,1.125,1.15,1.175,1.18866788948756,1.15384615384615,1.14699074074074,1.16434782608696,1.16,1.13542471042471,1.14033225905645,1.15384615384615,1.16666666666667,1.16666666666667,1.19047619047619,1.25,1.2962962962963,1.25357142857143,1.3,1.29406314718599,1.2638140618382,1.27868852459016,1.22967032967033
