"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"Cumberland, MD","MD",310,850,0.00830367734282325,0.0107015457788347,-0.0928495197438634,457
2016-11-30,"Longview, WA","WA",311,987,0.00304878048780488,0.0154320987654321,0.131880733944954,1947
2016-11-30,"Whitewater, WI","WI",312,1287,0.0117924528301887,0.00546875,-0.0820256776034237,9275
2016-11-30,"Ithaca, NY","NY",313,1584,-0.00814026299311208,-0.00627352572145546,-0.0246305418719212,3333
2016-11-30,"Ashtabula, OH","OH",314,845,-0.00937866354044549,-0.0242494226327945,0.0419235511713933,2140
2016-11-30,"Gettysburg, PA","PA",315,1048,0.000955109837631328,-0.0122525918944392,-0.0782761653474054,408
2016-11-30,"Pine Bluff, AR","AR",316,755,0,-0.00527009222661397,-0.0283140283140283,273
2016-11-30,"Tullahoma, TN","TN",317,850,0.00354191263282172,0.00710900473933649,0.0353227771010962,1174
2016-11-30,"Richmond, KY","KY",318,1009,0.0110220440881764,0.0445134575569358,0.091991341991342,763
2016-11-30,"Twin Falls, ID","ID",319,854,0.00707547169811321,0.00707547169811321,0.00707547169811321,228
2016-11-30,"Sebring, FL","FL",320,817,-0.00122249388753056,-0.0250596658711217,0.0721784776902887,2964
2016-11-30,"Paducah, KY","KY",321,994,0.00505561172901921,0.00709219858156028,0.0122199592668024,463
2016-11-30,"Grand Forks, ND","ND",322,902,-0.0131291028446389,-0.0414452709883103,-0.0861195542046606,865
2016-11-30,"Mankato, MN","MN",323,1239,-0.0016116035455278,-0.000806451612903226,-0.0016116035455278,1274
2016-11-30,"Cape Girardeau, MO","MO",324,672,0.00298507462686567,-0.0454545454545455,-0.216783216783217,448
2016-11-30,"Greenwood, SC","SC",325,894,-0.00556173526140156,-0.0335135135135135,-0.00334448160535117,426
2016-11-30,"Clarksburg, WV","WV",326,858,0.0141843971631206,0.0153846153846154,-0.0183066361556064,300
2016-11-30,"Dubuque, IA","IA",327,1044,-0.00571428571428571,-0.0404411764705882,-0.0279329608938547,1320
2016-11-30,"Albertville, AL","AL",328,960,-0.00518134715025907,-0.0113285272914521,-0.04,436
2016-11-30,"Manhattan, KS","KS",329,948,0.00211416490486258,0.00851063829787234,-0.021671826625387,1842
2016-11-30,"Parkersburg, WV","WV",330,797,0.0204865556978233,0.0191815856777494,-0.063454759106933,859
2016-11-30,"New Philadelphia, OH","OH",331,864,-0.0103092783505155,-0.0170648464163823,0.0285714285714286,1929
2016-11-30,"Orangeburg, SC","SC",332,1024,-0.0106280193236715,-0.0339622641509434,0.0138613861386139,843
2016-11-30,"Cheyenne, WY","WY",333,1192,-0.00251046025104603,-0.0116086235489221,-0.0837817063797079,4220
2016-11-30,"Brainerd, MN","MN",334,1174,-0.00424088210347752,-0.000851063829787234,0.00170648464163823,612
2016-11-30,"Kalispell, MT","MT",335,1386,-0.0149253731343284,-0.0434782608695652,0.155,3753
2016-11-30,"Sevierville, TN","TN",336,1089,0,0.0825049701789265,0.149947201689546,8144
2016-11-30,"Ames, IA","IA",337,968,-0.00308959835221421,-0.0281124497991968,0.0815642458100559,8192
2016-11-30,"Bozeman, MT","MT",338,1396,0.0093998553868402,0.0130624092888244,0.0872274143302181,7817
2016-11-30,"Moses Lake, WA","WA",339,890,0.00792751981879955,0.0229885057471264,0.0761789600967352,1734
2016-11-30,"Meadville, PA","PA",340,1005,-0.00297619047619048,-0.0308582449373192,-0.0771349862258953,414
2016-11-30,"Hermiston-Pendleton, OR","OR",341,996,-0.003003003003003,-0.041385948026949,0.0629669156883671,1027
2016-11-30,"Zanesville, OH","OH",342,812,0.0278481012658228,0.053177691309987,0.0423620025673941,1321
2016-11-30,"Corvallis, OR","OR",343,1179,-0.0199501246882793,-0.0545308740978348,0.066003616636528,2606
2016-11-30,"Bloomsburg, PA","PA",344,1054,-0.00472143531633617,-0.0093984962406015,-0.0121836925960637,237
2016-11-30,"Russellville, AR","AR",345,774,-0.00386100386100386,0.0091264667535854,-0.0165184243964422,392
2016-11-30,"Watertown, WI","WI",346,1038,0.00289855072463768,-0.0142450142450142,0.00193050193050193,2365
