"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10"
"New Jersey","State","New Jersey","All Homes",59889,60960,68655,71668,70187,71584,71802,71478,73045,72352,70404,67999,61614,64216,67345,73930,78982,79449,83570,83067,78160,76802,76170,70312,65492,65877,68678,67562,71439,72223,69346,68092,65880,62640,58940,53722,50111,51854,54330,56014,57910,59721,58462,58368,57427,56693,54835,51066,47626,49068,51320,56091,59543,62756,63380,63643,62800,62591,60050,55533,50970,51810,55235,56638,59412,65662,66206,65566,63096,62899,59809,54604,50589,51732,54841,59198,60210,62055,61540,60357,59265,57706
"Virginia","State","Virginia","All Homes",49087,50426,52633,56052,55834,57701,59250,56939,59587,58124,56304,55612,51334,53456,58300,57776,59282,60852,61382,60941,58410,56160,55005,51254,47168,48189,49293,48304,48954,49624,47450,45980,44919,43970,42449,39299,37177,38473,40211,41135,43700,44674,44385,44598,44418,44868,43826,41316,38086,39392,41832,45550,49279,51794,52753,52550,52286,51239,48834,44890,41460,41746,43102,46693,51210,53230,53643,53388,52551,51230,48075,42996,39424,39474,41692,45659,47196,48705,49025,48445,47245,45850
"Washington","State","Washington","All Homes",39818,40149,47237,49836,48128,50297,52294,52272,52018,50111,47938,45066,43820,44500,48278,48810,49104,51308,54734,54552,51866,49948,48382,44271,41085,39546,37402,34998,36161,37517,38276,37987,37996,34996,32666,28264,26052,28266,28994,29440,32455,33919,35554,37048,36434,35068,32594,30170,27317,27644,28614,31441,34440,36942,38033,38858,38244,36070,32276,28371,25218,24782,25108,26417,29546,30885,31532,31888,30396,28070,25086,21356,18589,18568,19591,21658,23992,26477,28356,29431,28590,26420
"Massachusetts","State","Massachusetts","All Homes",31036,34084,36306,38503,37794,39801,39231,38822,39233,40643,38832,35155,31299,31678,35321,41280,44504,44618,47650,47275,46235,45210,42463,37144,33665,33775,36474,37549,39557,39610,37812,37042,35878,34841,32210,27466,24309,25456,27249,28965,30174,27225,26080,27275,27414,27505,25302,22263,19659,20110,21174,24136,26750,29148,29298,29146,29366,28450,25660,21370,18918,18432,18270,21050,25384,27684,27916,27892,28069,27748,25476,21003,17506,16834,18079,19432,20872,22376,22131,21805,21912,21650
"Indiana","State","Indiana","All Homes",42753,44821,47265,48534,42570,43213,44512,44229,45979,44152,41660,40517,38663,40342,42249,44590,44760,45804,47134,46079,44654,42556,41814,37805,35103,35312,37155,37443,38861,40620,39829,40141,38670,36443,34918,32896,31120,31272,32096,33097,34303,34992,35954,36558,36174,34592,32992,31460,29156,28483,28963,30885,33550,34777,35675,36658,36264,35158,33648,30652,28683,27775,28266,29649,32106,33774,34891,35560,35411,34602,33054,29420,27042,26328,26294,26939,27094,28143,29256,29551,29082,28438
"Arizona","State","Arizona","All Homes",53299,54594,57375,57926,55218,56898,56656,56902,59940,62309,64866,66053,63152,65118,67584,63485,61233,60839,60730,57272,55942,53808,55163,53028,51718,48102,39232,37332,34886,34493,33926,34116,34743,35658,36566,35278,34089,35074,35790,35104,34009,32919,32358,33181,34356,37158,39570,39414,38946,41522,42442,42834,42484,41584,41705,40356,40072,40824,41322,40108,38848,39740,39415,38518,36945,36292,35659,34996,35161,37923,38256,34382,33444,34694,34971,35194,37572,36698,35631,34971,34443,35170
"Tennessee","State","Tennessee","All Homes",53881,55996,57922,60185,58754,62364,63364,63104,63854,62784,61632,60783,55390,62792,64852,67563,68330,70795,69925,73325,70131,68674,68098,64086,59731,59650,60197,59401,59347,60470,59229,59424,59494,56917,55979,53656,50994,52812,54604,56054,58453,58844,58391,58354,57692,56847,55524,53786,49341,49766,50984,53662,55498,57436,58111,57733,56698,54899,53066,50242,47530,47783,41086,33237,37601,39644,40953,42351,41634,40792,38904,36745,34052,34838,35612,37563,37924,39278,40093,40521,40320,39490
"Missouri","State","Missouri","All Homes",43632,45861,52742,56506,53760,53642,53790,54132,53336,53042,51050,48691,45363,46715,50315,53098,53674,55815,58302,58554,56810,55627,54940,49970,44748,46070,49106,48768,49269,49180,48502,47688,46816,44939,43274,39937,37802,38994,40075,41050,42565,43421,43189,43692,43195,43187,42016,39498,35694,36284,37204,39673,41296,42649,43179,43640,42912,42022,40187,37092,34378,33376,31570,35026,36805,38240,40098,40004,39366,38556,35857,33468,30208,30268,31346,32874,33162,34601,35043,34941,34044,33330
"Maryland","State","Maryland","All Homes",32838,32688,34773,36905,36254,37174,38353,37012,39261,39280,38474,38244,35747,37265,41169,39236,40800,42147,43022,40779,39484,38830,37428,34606,32425,32138,32666,31939,31697,31970,30803,29795,27460,26310,25200,22916,21303,22099,22612,23350,24651,24584,24583,24716,24918,25610,25284,23996,22461,22649,23845,27391,29432,32346,33121,32870,32804,32734,31670,29010,27736,27438,27377,30228,32460,33789,33861,33740,34055,33750,32118,27930,25630,25292,26555,28260,29286,30650,30854,30495,30080,29572
"Wisconsin","State","Wisconsin","All Homes",36902,37936,42272,45162,45135,45087,45718,45259,45847,44836,43318,43038,40003,42240,44928,47238,47600,52115,54968,56554,54398,52470,49499,45228,42156,42613,44384,45072,45756,47465,47026,46173,45365,43266,40565,37086,35253,36135,37663,39716,41884,43652,43707,44850,44384,42821,40136,36714,33429,34306,35941,38896,42746,44774,46445,46852,46030,44101,41374,36924,33737,34744,36385,33368,39383,41672,41514,41138,39848,37596,34120,31253,28318,28978,31115,33480,35570,38818,39647,39540,38500,36278
